type;focused_total;pre_score;post_score;seconds_Attention_Output;over_40;over_40_del1
without LLM;19;5;6;90;75;69
without LLM;20;4;4;54;66;81
without LLM;24;1;0;54;70;53
without LLM;19;6;7;21;20;23
without LLM;17;8;8;53;61;67
without LLM;17;8;9;14;24;34
without LLM;15;5;9;38;43;37
without LLM;8;3;7;56;61;61
without LLM;22;4;6;27;37;34
without LLM;19;3;3;1;13;17
without LLM;15;6;6;75;84;83
without LLM;23;4;7;47;41;29
without LLM;16;6;9;54;56;64
without LLM;24;4;7;38;64;74
without LLM;20;3;5;57;48;40
without LLM;18;4;3;97;90;78
without LLM;20;6;5;67;67;53
without LLM;17;5;7;24;38;61
without LLM;16;6;7;35;44;63
without LLM;19;3;5;66;61;61
without LLM;20;3;7;81;69;63
without LLM;16;6;7;56;50;51
without LLM;22;5;7;43;35;17
without LLM;12;1;4;84;90;84
without LLM;18;2;6;56;29;24
without LLM;16;8;7;37;38;38
without LLM;12;6;6;57;66;54
without LLM;23;6;6;40;44;44
without LLM;12;2;4;97;94;87
without LLM;12;4;5;70;70;69
without LLM;19;3;5;60;60;70
without LLM;14;8;8;40;37;50
without LLM;20;5;4;43;37;35
without LLM;22;5;6;43;38;40
without LLM;20;4;7;17;7;10
without LLM;12;6;5;48;48;57
without LLM;17;2;1;51;40;43
without LLM;20;3;6;24;35;34
without LLM;16;7;9;81;81;81
without LLM;20;5;7;26;40;34
without LLM;15;5;6;61;56;53
without LLM;20;7;9;41;41;63
without LLM;24;4;5;90;90;63
without LLM;17;8;9;23;43;69
without LLM;23;3;6;11;1;35
without LLM;21;6;6;56;56;56
without LLM;17;7;8;14;1;3
without LLM;24;6;8;13;29;37
without LLM;16;5;7;26;44;53
without LLM;20;7;9;63;70;70
without LLM;20;4;9;60;64;57
without LLM;24;7;8;43;61;70
without LLM;16;3;4;83;75;63
without LLM;18;8;10;26;29;17
without LLM;17;5;10;67;69;53
without LLM;8;5;8;77;74;40
without LLM;13;3;9;44;43;37
without LLM;21;6;6;81;69;66
without LLM;9;2;8;17;11;7
with LLM;24;3;3;60;66;60
with LLM;20;3;5;88;90;78
with LLM;16;5;8;87;87;93
with LLM;22;4;8;40;30;50
with LLM;19;1;5;64;60;35
with LLM;20;1;5;88;88;88
with LLM;20;4;5;78;75;61
with LLM;14;8;7;14;17;23
with LLM;20;5;5;78;54;60
with LLM;17;5;6;35;37;26
with LLM;20;3;5;54;56;56
with LLM;14;3;2;34;43;40
with LLM;17;10;10;43;50;69
with LLM;24;4;7;29;29;41
with LLM;18;3;6;54;61;61
with LLM;24;5;5;23;29;48
with LLM;20;4;8;67;53;29
with LLM;17;5;7;51;48;53
with LLM;20;3;7;80;83;83
with LLM;20;4;5;43;43;41
with LLM;12;6;7;16;21;43
with LLM;14;5;5;26;16;17
with LLM;18;5;6;48;48;50
with LLM;20;3;7;20;40;41
with LLM;13;6;10;8;30;37
with LLM;20;7;9;38;48;37
with LLM;20;6;6;16;16;16
with LLM;20;3;5;100;100;94
with LLM;20;4;5;30;56;93
with LLM;16;7;7;43;44;48
with LLM;22;3;5;37;38;20
with LLM;14;7;8;69;60;56
with LLM;18;7;6;27;38;51
with LLM;21;5;6;16;24;27
with LLM;16;8;6;67;88;87
with LLM;24;2;3;63;23;23
with LLM;16;5;6;67;70;77
with LLM;21;6;8;51;61;64
with LLM;20;3;5;75;75;75
with LLM;21;3;2;40;37;35
with LLM;24;7;9;35;26;24
with LLM;20;3;5;27;20;20
with LLM;16;3;5;67;67;74
with LLM;18;7;7;37;37;48
with LLM;4;0;2;81;80;67
with LLM;15;3;7;41;41;41
with LLM;16;4;7;93;96;100
with LLM;20;1;0;50;48;61
with LLM;15;5;7;40;40;21
with LLM;13;7;9;84;87;78
with LLM;20;5;6;40;27;30
with LLM;20;5;7;53;50;80
with LLM;24;8;7;69;91;93
with LLM;16;5;5;8;21;48
with LLM;24;7;6;13;1;16
with LLM;20;2;5;1;1;1
with LLM;17;2;5;69;69;84
with LLM;17;4;8;50;38;35
with LLM;20;5;8;24;41;27
with LLM;20;3;9;74;57;66
with LLM;16;3;6;34;29;34
with LLM;19;6;5;20;47;64
